syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at
C3FWSW2070,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C353),2,社会福祉士指定科目,2025-06-02 00:59:24,2025-06-01 15:59:26
C3MH10100,2025,精神保健福祉援助実習指導Ⅰ,精神保健福祉士として、ソーシャルワーク実践の可能な専門家を育成するプロセスである。,社会学部,4年次,深草,前期　木３(C243)・木４（ペア）,4,,2025-06-02 00:59:30,2025-06-01 15:59:32
C3FWSW2080,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C354),2,社会福祉士指定科目,2025-06-02 00:59:31,2025-06-01 15:59:32
C3MH10109,2025,精神保健福祉援助実習指導Ⅰ,精神保健福祉士として、ソーシャルワーク実践の可能な専門家を育成するプロセスである。,社会学部,4年次,深草,前期　月３(C999)・月４（ペア）,4,,2025-06-02 00:59:31,2025-06-01 15:59:32
C3MH20109,2025,精神保健福祉援助実習指導Ⅱ,精神保健福祉士として、ソーシャルワーク実践の可能な専門家を育成するプロセスである。,社会学部,4年次,深草,後期　金２,2,,2025-06-02 00:59:34,2025-06-01 15:59:36
C3MH20100,2025,精神保健福祉援助実習指導Ⅱ,精神保健福祉士として、ソーシャルワーク実践の可能な専門家を育成するプロセスである。,社会学部,4年次,深草,後期　木２(C314),2,,2025-06-02 00:59:34,2025-06-01 15:59:36
C3MH30100,2025,精神保健福祉援助実習,精神保健福祉士として、ソーシャルワーク実践の可能な専門家を育成するプロセスである。,社会学部,4年次,深草,後期　集中(C355),6,,2025-06-02 00:59:56,2025-06-01 15:59:56
C3SEM3A010,2025,現代福祉学演習ⅠＡ,現代福祉研究へのアプローチ,社会学部,3年次～4年次,深草,前期　水１(C207),2,２０２０年度以降入学生用,2025-06-02 00:59:57,2025-06-01 15:59:58
C3SEM3A020,2025,現代福祉学演習ⅠＡ,現代福祉研究へのアプローチ,社会学部,3年次～4年次,深草,前期　水１(C208),2,２０２０年度以降入学生用,2025-06-02 00:59:58,2025-06-01 16:00:02
C3SEM3A030,2025,現代福祉学演習ⅠＡ,現代福祉研究へのアプローチ,社会学部,3年次～4年次,深草,前期　水１(C209),2,２０２０年度以降入学生用,2025-06-02 01:00:08,2025-06-01 16:00:10
